URL,star labels,star percentages
https://fr.trustpilot.com/review/therunningcollective.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['88%', '9%', '2%', '<1%', '<1%']"
https://fr.trustpilot.com/review/ma-domiciliation.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['90%', '6%', '<1%', '<1%', '4%']"
https://fr.trustpilot.com/review/lapetiteimprimerie.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['87%', '10%', '<1%', '<1%', '1%']"
https://fr.trustpilot.com/review/www.digitaleo.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '11%', '2%', '0%', '<1%']"
https://fr.trustpilot.com/review/zolemba.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['74%', '10%', '4%', '2%', '10%']"
https://fr.trustpilot.com/review/wedealee.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['94%', '3%', '<1%', '0%', '2%']"
https://fr.trustpilot.com/review/gestebio.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['92%', '7%', '1%', '0%', '0%']"
https://fr.trustpilot.com/review/high-com.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['88%', '9%', '<1%', '0%', '2%']"
https://fr.trustpilot.com/review/ubiq.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['90%', '9%', '<1%', '0%', '0%']"
https://fr.trustpilot.com/review/marche-commun.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['97%', '2%', '<1%', '0%', '1%']"
https://fr.trustpilot.com/review/boutique-pcland.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['89%', '7%', '1%', '<1%', '2%']"
https://fr.trustpilot.com/review/abicyclettepaulette.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['80%', '14%', '3%', '2%', '<1%']"
https://fr.trustpilot.com/review/leslaureats.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['87%', '11%', '<1%', '<1%', '0%']"
https://fr.trustpilot.com/review/doretdevins.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['98%', '0%', '1%', '<1%', '0%']"
https://fr.trustpilot.com/review/lockall.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['93%', '3%', '<1%', '0%', '3%']"
https://fr.trustpilot.com/review/scribeo.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['89%', '5%', '<1%', '2%', '3%']"
https://fr.trustpilot.com/review/boutique-missingno.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['99%', '0%', '<1%', '0%', '0%']"
https://fr.trustpilot.com/review/nishikidori.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['87%', '10%', '<1%', '0%', '2%']"
https://fr.trustpilot.com/review/hy-justice.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['91%', '6%', '<1%', '0%', '2%']"
https://fr.trustpilot.com/review/capitole-energie.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['89%', '9%', '2%', '0%', '0%']"
https://fr.trustpilot.com/review/dtfprint.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['95%', '5%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/people-vox.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['88%', '10%', '<1%', '<1%', '0%']"
https://fr.trustpilot.com/review/green-kartel.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['95%', '4%', '0%', '<1%', '0%']"
https://fr.trustpilot.com/review/moillard.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['87%', '10%', '<1%', '0%', '2%']"
https://fr.trustpilot.com/review/www.kukuu.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['91%', '4%', '4%', '0%', '1%']"
https://fr.trustpilot.com/review/lessaveursdenoemie.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['91%', '7%', '1%', '1%', '0%']"
https://fr.trustpilot.com/review/stairwage.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['94%', '5%', '0%', '1%', '0%']"
https://fr.trustpilot.com/review/comores-en-ligne.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['92%', '5%', '3%', '0%', '0%']"
