URL,star labels,star percentages
https://fr.trustpilot.com/review/leslaureats.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '12%', '<1%', '<1%', '0%']"
https://fr.trustpilot.com/review/lockall.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['92%', '4%', '<1%', '0%', '3%']"
https://fr.trustpilot.com/review/scribeo.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['90%', '5%', '<1%', '1%', '3%']"
https://fr.trustpilot.com/review/doretdevins.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['98%', '0%', '1%', '<1%', '0%']"
https://fr.trustpilot.com/review/stickergreen.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['87%', '8%', '3%', '1%', '<1%']"
https://fr.trustpilot.com/review/hy-justice.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['92%', '6%', '<1%', '0%', '1%']"
https://fr.trustpilot.com/review/boutique-missingno.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['99%', '0%', '<1%', '0%', '0%']"
https://fr.trustpilot.com/review/capitole-energie.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['90%', '8%', '2%', '0%', '0%']"
https://fr.trustpilot.com/review/dtfprint.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['94%', '6%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/people-vox.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '12%', '<1%', '<1%', '0%']"
https://fr.trustpilot.com/review/www.kukuu.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['91%', '4%', '4%', '0%', '<1%']"
https://fr.trustpilot.com/review/stairwage.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['93%', '6%', '0%', '<1%', '0%']"
https://fr.trustpilot.com/review/comores-en-ligne.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['92%', '6%', '2%', '0%', '0%']"
https://fr.trustpilot.com/review/cqfd-avignon.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['90%', '5%', '4%', '0%', '1%']"
https://fr.trustpilot.com/review/untraducteur.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['94%', '3%', '3%', '0%', '0%']"
